GO_term,Descrip,DECount,Expect,N,p,adjP,FDR,Expr,shortest_path,longest_path,terminal_node,ontology,Group
GO:0009753,response to jasmonic acid,31,5.327774949083503,196,1.0741962094700735e-13,1.8637304234305776e-10,7.168193936271451e-12,Down,4,5,FALSE,BP,gad1*
GO:0010150,leaf senescence,27,3.9393245078071963,149,1.4422834047811158e-13,2.502361707295236e-10,9.268006323315688e-12,Down,4,8,FALSE,BP,gad1*
GO:0070542,response to fatty acid,31,5.456933129667346,200,1.882436942822836e-13,3.2660280957976205e-10,1.1664386056420074e-11,Down,4,5,FALSE,BP,gad1*
GO:0009737,response to abscisic acid,56,18.04985573659199,615,9.49807199145307e-13,1.6479154905171074e-9,5.493051635057025e-11,Down,4,5,FALSE,BP,gad1*
GO:0097305,response to alcohol,56,18.275882552613712,622,1.5014049855764346e-12,2.604937649975114e-9,8.403024677339078e-11,Down,4,4,FALSE,BP,gad1*
GO:0070887,cellular response to chemical stimulus,110,53.14859131025119,1756,2.1621507665350053e-12,3.7513315799382345e-9,1.1722911187306983e-10,Down,3,3,FALSE,BP,gad1*
GO:0043207,response to external biotic stimulus,98,45.75428547182621,1515,7.734149016576085e-12,1.3418748543759507e-8,3.9466907481645613e-10,Down,3,3,FALSE,BP,gad1*
GO:0051707,response to other organism,98,45.75428547182621,1515,7.734149016576085e-12,1.3418748543759507e-8,3.9466907481645613e-10,Down,2,4,FALSE,BP,gad1*
GO:0009607,response to biotic stimulus,98,46.62610319076714,1542,2.0694339948550506e-11,3.590467981073513e-8,1.0258479945924322e-9,Down,2,2,FALSE,BP,gad1*
GO:0016054,organic acid catabolic process,26,4.714273591310251,172,2.988722407351095e-11,5.1854333767541505e-8,1.4403981602094862e-9,Down,4,4,FALSE,BP,gad1*
GO:0009651,response to salt stress,45,13.852214867617107,474,4.397126851584058e-11,7.629015087498341e-8,2.0618959695941464e-9,Down,4,4,FALSE,BP,gad1*
GO:0044419,biological process involved in interspecies interaction between organisms,98,47.4010522742702,1566,5.0342981580770196e-11,8.73450730426363e-8,2.2985545537535863e-9,Down,1,1,FALSE,BP,gad1*
GO:0006082,organic acid metabolic process,83,37.71418873048201,1251,9.747863247170487e-11,1.6912542733840794e-7,4.336549418933538e-9,Down,3,3,FALSE,BP,gad1*
GO:0006979,response to oxidative stress,44,13.916793957909029,475,1.6054029380237618e-10,2.785374097471227e-7,6.963435243678067e-9,Down,3,3,FALSE,BP,gad1*
GO:0043436,oxoacid metabolic process,80,36.19658010862186,1201,2.226691553041318e-10,3.8633098445266866e-7,9.422706937869968e-9,Down,4,4,FALSE,BP,gad1*
GO:0046395,carboxylic acid catabolic process,23,4.3590885947046845,158,8.834908682236118e-10,1.5328566563679664e-6,3.649658705638016e-8,Down,5,6,FALSE,BP,gad1*
GO:0016491,oxidoreductase activity,98,51.98616768499661,1708,5.234193466852602e-9,9.081325664989264e-6,2.0639376511339236e-7,Down,2,2,FALSE,MF,gad1*
GO:0044282,small molecule catabolic process,28,7.329726748133062,255,9.406907583877929e-9,1.6320984658028205e-5,3.6268854795618235e-7,Down,3,3,FALSE,BP,gad1*
GO:0009266,response to temperature stimulus,49,19.373727087576373,649,1.5150059937366598e-8,2.6285353991331046e-5,5.3643579574145e-7,Down,3,3,FALSE,BP,gad1*
GO:1900057,positive regulation of leaf senescence,8,0.32289545145960624,18,2.928123595267229e-8,5.0802944377886424e-5,1.0160588875577286e-6,Down,4,10,TRUE,BP,gad1*
GO:0044281,small molecule metabolic process,102,56.89417854718262,1864,3.225904313470239e-8,5.596943983870864e-5,1.0974399968374245e-6,Down,2,2,FALSE,BP,gad1*
GO:0009620,response to fungus,49,19.858070264765786,664,4.1131857953532396e-8,7.136377354937871e-5,1.3723802605649752e-6,Down,3,5,FALSE,BP,gad1*
GO:0031668,cellular response to extracellular stimulus,25,6.425619484046164,224,4.212546483402639e-8,7.308768148703579e-5,1.3790128582459584e-6,Down,3,4,FALSE,BP,gad1*
GO:0046527,glucosyltransferase activity,22,5.134037678207739,181,5.937730036339228e-8,1.030196161304856e-4,1.907770669083067e-6,Down,5,5,FALSE,MF,gad1*
GO:0009991,response to extracellular stimulus,28,8.104675831636117,279,6.594818019170401e-8,1.1442009263260647e-4,2.0803653205928447e-6,Down,3,3,FALSE,BP,gad1*
GO:0071496,cellular response to external stimulus,25,6.619356754921928,230,7.098562986833142e-8,1.2316006782155502e-4,2.199286925384911e-6,Down,3,3,FALSE,BP,gad1*
GO:0005773,vacuole,75,38.198531907671416,1258,1.0546428440865832e-7,1.829805334490222e-4,3.2101847973512663e-6,Down,3,5,FALSE,CC,gad1*
GO:0015996,chlorophyll catabolic process,8,0.4197640868974881,21,1.2527024267512487e-7,2.1734387104134164e-4,3.7473081214024425e-6,Down,4,7,FALSE,BP,gad1*
GO:0033554,cellular response to stress,75,39.070349626612355,1285,2.285409800477848e-7,3.9651860038290664e-4,6.6086433397151104e-6,Down,3,3,FALSE,BP,gad1*
GO:0046149,pigment catabolic process,8,0.4843431771894094,23,2.8552782387128306e-7,4.953907744166761e-4,7.990173780914131e-6,Down,3,3,FALSE,BP,gad1*
GO:0019752,carboxylic acid metabolic process,65,32.45099287169043,1070,3.3845712747481367e-7,5.872231161688017e-4,9.175361190137526e-6,Down,5,5,FALSE,BP,gad1*
GO:0042542,response to hydrogen peroxide,13,1.9373727087576376,73,3.788941163030268e-7,6.573812917857516e-4,9.960322602814418e-6,Down,4,5,FALSE,BP,gad1*
GO:0009409,response to cold,34,12.528343516632722,422,5.518675350751536e-7,9.574901733553914e-4,1.408073784346164e-5,Down,3,4,FALSE,BP,gad1*
GO:0006952,defense response,94,54.569331296673454,1784,6.121600907761395e-7,0.001062097757496602,1.539272112313916e-5,Down,3,3,FALSE,BP,gad1*
GO:0006787,porphyrin-containing compound catabolic process,8,0.5812118126272913,26,8.370801327591848e-7,0.0014523340303371855,1.989498671694775e-5,Down,5,6,FALSE,BP,gad1*
GO:0033015,tetrapyrrole catabolic process,8,0.5812118126272913,26,8.370801327591848e-7,0.0014523340303371855,1.989498671694775e-5,Down,5,5,FALSE,BP,gad1*
GO:0019748,secondary metabolic process,31,11.139893075356415,376,1.0675339801805313e-6,0.0018521714556132217,2.502934399477327e-5,Down,2,2,FALSE,BP,gad1*
GO:0072329,monocarboxylic acid catabolic process,12,1.8405040733197555,69,1.3824900231644561e-6,0.0023986201901903315,3.198160253587108e-5,Down,6,7,FALSE,BP,gad1*
GO:1900055,regulation of leaf senescence,10,1.2270027155465038,48,1.8845655557269978e-6,0.003269721239186341,4.191950306649156e-5,Down,5,9,FALSE,BP,gad1*
GO:0098542,defense response to other organism,70,37.649609640190086,1236,2.000544333538468e-6,0.0034709444186892422,4.393600529986383e-5,Down,3,5,FALSE,BP,gad1*
GO:0008194,UDP-glycosyltransferase activity,27,9.202520366598778,312,2.1067584888973633e-6,0.0036552259782369253,4.5690324727961566e-5,Down,4,4,FALSE,MF,gad1*
GO:0035251,UDP-glucosyltransferase activity,17,4.068482688391039,143,2.542657890843471e-6,0.004411511440613422,5.3798920007480763e-5,Down,5,6,FALSE,MF,gad1*
GO:0016844,strictosidine synthase activity,6,0.29060590631364563,15,3.6097854057604137e-6,0.006262977678994318,7.368209034110961e-5,Down,5,5,TRUE,MF,gad1*
GO:0000302,response to reactive oxygen species,18,4.681984046164291,163,3.774491160026803e-6,0.006548742162646503,7.614816468193607e-5,Down,4,4,FALSE,BP,gad1*
GO:0009413,response to flooding,4,0.03228954514596062,5,4.63169722705823e-6,0.00803599468894603,9.236775504535666e-5,Down,3,5,TRUE,BP,gad1*
GO:0042537,benzene-containing compound metabolic process,12,2.1311099796334014,78,5.267369886551005e-6,0.009138886753165994,1.0385098583143174e-4,Down,4,4,FALSE,BP,gad1*
GO:0051716,cellular response to stimulus,150,103.97233536999322,3370,5.461526887965069e-6,0.009475749150619394,1.064690915799932e-4,Down,2,2,FALSE,BP,gad1*
GO:0031669,cellular response to nutrient levels,19,5.327774949083503,184,5.536177424983374e-6,0.009605267832346153,1.067251981371795e-4,Down,4,5,FALSE,BP,gad1*
GO:0002213,defense response to insect,8,0.8072386286490156,33,6.127663837001241e-6,0.010631496757197153,1.168296346944742e-4,Down,4,6,FALSE,BP,gad1*
GO:0031667,response to nutrient levels,22,6.974541751527495,238,6.4016623960725674e-6,0.011106884257185904,1.2072700279549896e-4,Down,4,4,FALSE,BP,gad1*
GO:0080044,quercetin 7-O-glucosyltransferase activity,10,1.453029531568228,55,6.917251278303218e-6,0.012001430967856082,1.2904764481565682e-4,Down,6,7,TRUE,MF,gad1*
GO:0050660,flavin adenine dinucleotide binding,18,5.004879497623897,173,8.736063208921366e-6,0.01515706966747857,1.6124542199445288e-4,Down,4,5,FALSE,MF,gad1*
GO:0044248,cellular catabolic process,77,44.94704684317719,1469,8.899811165074583e-6,0.015441172371404402,1.6253865654109896e-4,Down,3,3,FALSE,BP,gad1*
GO:1901701,cellular response to oxygen-containing compound,47,23.054735234215887,761,1.0529697259324497e-5,0.018269024744928003,1.9030234109300003e-4,Down,4,4,FALSE,BP,gad1*
GO:0010279,indole-3-acetic acid amido synthetase activity,4,0.06457909029192124,6,1.3549512975671029e-5,0.023508405012789235,2.3508405012789236e-4,Down,5,5,FALSE,MF,gad1*
GO:0043562,cellular response to nitrogen levels,9,1.2592922606924644,48,1.5358975855529858e-5,0.026647823109344305,2.5940198491030645e-4,Down,5,6,FALSE,BP,gad1*
GO:1901615,organic hydroxy compound metabolic process,29,11.30134080108622,379,1.5399656741072948e-5,0.026718404445761564,2.5940198491030645e-4,Down,3,3,FALSE,BP,gad1*
GO:1901605,alpha-amino acid metabolic process,24,8.78275627970129,296,2.2623039006349657e-5,0.039250972676016654,3.568270243274242e-4,Down,4,7,FALSE,BP,gad1*
GO:0009267,cellular response to starvation,17,4.908010862186015,169,2.39598769850091e-5,0.041570386568990786,3.7450798710802514e-4,Down,4,6,FALSE,BP,gad1*
GO:0016843,amine-lyase activity,6,0.45205363204344873,20,2.4449069791508797e-5,0.042419136088267764,3.7874228650239077e-4,Down,4,4,FALSE,MF,gad1*
GO:0080043,quercetin 3-O-glucosyltransferase activity,10,1.7436354378818737,64,2.7805566421950713e-5,0.048242657742084485,4.195013716702999e-4,Down,6,7,TRUE,MF,gad1*
GO:0031347,regulation of defense response,23,8.33070264765784,281,2.8707776129621395e-5,0.04980799158489312,4.293792378008028e-4,Down,4,5,FALSE,BP,gad1*
GO:0032787,monocarboxylic acid metabolic process,36,16.49995756958588,547,2.9606529342435893e-5,0.05136732840912627,4.390369949497972e-4,Down,6,6,FALSE,BP,gad1*
GO:1901698,response to nitrogen compound,25,9.719153088934148,326,3.8983381092615265e-5,0.06763616619568749,5.589765801296486e-4,Down,3,3,FALSE,BP,gad1*
GO:0080167,response to karrikin,14,3.61642905634759,126,4.1316890724458976e-5,0.07168480540693632,5.746525808286099e-4,Down,3,3,TRUE,BP,gad1*
GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",12,2.7123217922606924,96,4.5367352540007327e-5,0.07871235665691272,6.197823358812024e-4,Down,3,3,FALSE,MF,gad1*
GO:0009751,response to salicylic acid,17,5.198616768499661,178,4.658459659476841e-5,0.08082427509192319,6.314396491556499e-4,Down,4,5,FALSE,BP,gad1*
GO:1901606,alpha-amino acid catabolic process,10,1.8727936184657161,68,4.7698147193483215e-5,0.08275628538069338,6.415215920983983e-4,Down,5,8,FALSE,BP,gad1*
GO:0009636,response to toxic substance,26,10.203496266123558,342,4.948713382970325e-5,0.08586017719453513,6.604629014964242e-4,Down,3,3,FALSE,BP,gad1*
GO:0044242,cellular lipid catabolic process,13,3.2289545145960625,113,5.358364880654037e-5,0.09296763067934755,7.096765700713554e-4,Down,4,5,FALSE,BP,gad1*
GO:0003824,catalytic activity,374,317.79370332654446,10216,5.469641349880378e-5,0.09489827742042456,7.189263440941254e-4,Down,1,1,FALSE,MF,gad1*
GO:0009631,cold acclimation,9,1.5176086218601494,56,5.550937101384255e-5,0.09630875870901683,7.241260053309536e-4,Down,4,5,TRUE,BP,gad1*
GO:0009408,response to heat,21,7.555753564154786,255,5.770111564117856e-5,0.1001114356374448,7.471002659510807e-4,Down,3,4,FALSE,BP,gad1*
GO:0003978,UDP-glucose 4-epimerase activity,4,0.12915818058384249,8,6.012976707815896e-5,0.10432514588060579,7.727788583748577e-4,Down,5,5,TRUE,MF,gad1*
GO:0071949,FAD binding,11,2.3894263408010863,85,6.778219597342052e-5,0.11760211001388461,8.584095621451431e-4,Down,5,6,TRUE,MF,gad1*
GO:0098754,detoxification,23,8.976493550577054,301,8.282559536802653e-5,0.14370240796352604,0.001018562940665703,Down,1,4,FALSE,BP,gad1*
GO:0050832,defense response to fungus,36,17.436354378818738,576,8.572953270790983e-5,0.14874073924822354,0.001040145029707857,Down,4,6,FALSE,BP,gad1*
GO:0071395,cellular response to jasmonic acid stimulus,12,2.938348608282417,103,9.102429143213544e-5,0.157927145634755,0.001096716289130243,Down,5,6,FALSE,BP,gad1*
GO:0006560,proline metabolic process,5,0.35518499660556685,16,9.686132788753926e-5,0.1680544038848806,0.0011589958888612456,Down,4,9,FALSE,BP,gad1*
GO:0042594,response to starvation,18,6.1350135777325185,208,1.0217913944162644e-4,0.1772808069312219,0.001214252102268643,Down,3,5,FALSE,BP,gad1*
GO:0009063,cellular amino acid catabolic process,11,2.5185845213849287,89,1.0363040774731625e-4,0.1797987574415937,0.0012231207989224062,Down,4,7,FALSE,BP,gad1*
GO:0048366,leaf development,28,12.011710794297352,400,1.0768388181257414e-4,0.18683153494481614,0.0012623752361136226,Down,5,7,FALSE,BP,gad1*
GO:0071229,cellular response to acid chemical,9,1.6790563475899525,61,1.1056133374759944e-4,0.19182391405208502,0.0012874088191415103,Down,4,4,FALSE,BP,gad1*
GO:0099503,secretory vesicle,16,5.069458587915818,173,1.1291317956128822e-4,0.19590436653883506,0.0013060291102589003,Down,4,7,FALSE,CC,gad1*
GO:0010597,green leaf volatile biosynthetic process,3,0.03228954514596062,4,1.1909974486255054e-4,0.20663805733652518,0.0013684639558710278,Down,6,9,TRUE,BP,gad1*
GO:0016757,"transferase activity, transferring glycosyl groups",39,19.69662253903598,649,1.2675351220913045e-4,0.21991734368284133,0.001446824629492377,Down,3,3,FALSE,MF,gad1*
GO:0048583,regulation of response to stimulus,44,23.474499321113374,771,1.3122471946964913e-4,0.22767488827984125,0.001483958003600617,Down,2,3,FALSE,BP,gad1*
GO:0071398,cellular response to fatty acid,12,3.0675067888662593,107,1.3171730982968014e-4,0.22852953255449504,0.001483958003600617,Down,5,6,FALSE,BP,gad1*
GO:0000976,transcription regulatory region sequence-specific DNA binding,54,30.93338424983028,1012,1.3783649101214879e-4,0.23914631190607816,0.0015329891788851164,Down,5,7,FALSE,MF,gad1*
GO:0001067,regulatory region nucleic acid binding,54,30.93338424983028,1012,1.3783649101214879e-4,0.23914631190607816,0.0015329891788851164,Down,4,4,FALSE,MF,gad1*
GO:0009694,jasmonic acid metabolic process,8,1.3561608961303462,50,1.4825145923837727e-4,0.2572162817785846,0.0016279511504973707,Down,3,7,FALSE,BP,gad1*
GO:0009056,catabolic process,89,58.6378139850645,1905,1.5076957478865833e-4,0.2615852122583222,0.001645190014203284,Down,2,2,FALSE,BP,gad1*
GO:0042631,cellular response to water deprivation,7,1.0009758995247793,38,1.5431808662109262e-4,0.2677418802875957,0.001673386751797473,Down,4,6,FALSE,BP,gad1*
GO:0071396,cellular response to lipid,34,16.725984385607603,552,1.7595001425593074e-4,0.3052732747340398,0.001884402930457036,Down,5,5,FALSE,BP,gad1*
GO:0006995,cellular response to nitrogen starvation,7,1.0332654446707399,39,1.8304320550628292e-4,0.31757996155340085,0.0019364631802036639,Down,5,7,FALSE,BP,gad1*
GO:0071462,cellular response to water stimulus,7,1.0332654446707399,39,1.8304320550628292e-4,0.31757996155340085,0.0019364631802036639,Down,4,5,FALSE,BP,gad1*
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",16,5.327774949083503,181,1.9095809773910684e-4,0.33131229957735037,0.0020079533307718203,Down,4,4,FALSE,MF,gad1*
GO:0006520,cellular amino acid metabolic process,30,14.013662593346911,464,2.0567806457806524e-4,0.3568514420429432,0.002149707482186405,Down,3,6,FALSE,BP,gad1*
GO:0042430,indole-containing compound metabolic process,10,2.2925577053632042,81,2.1403543938682852e-4,0.3713514873361475,0.0022236616008152544,Down,4,4,FALSE,BP,gad1*
GO:0015291,secondary active transmembrane transporter activity,23,9.493126272912424,317,2.1803811703035667e-4,0.3782961330476688,0.002238438657086798,Down,4,4,FALSE,MF,gad1*
GO:0016758,"transferase activity, transferring hexosyl groups",26,11.333630346232178,377,2.3393092260203988e-4,0.4058701507145392,0.0023597101785729022,Down,4,4,FALSE,MF,gad1*
GO:0009867,jasmonic acid mediated signaling pathway,11,2.8091904276985744,98,2.4668891012131767e-4,0.42800525906048614,0.002467075469952835,Down,4,7,FALSE,BP,gad1*
GO:0042440,pigment metabolic process,17,6.038144942294637,204,0.00024741851975319497,0.42927113177179327,0.002467075469952835,Down,2,2,FALSE,BP,gad1*
GO:1990837,sequence-specific double-stranded DNA binding,54,31.772912423625254,1038,2.4884490175959757e-4,0.4317459045529018,0.0024671194545880103,Down,6,6,FALSE,MF,gad1*
GO:2000022,regulation of jasmonic acid mediated signaling pathway,7,1.0978445349626613,41,2.5343486161313704e-4,0.43970948489879275,0.002498349346015868,Down,4,8,TRUE,BP,gad1*
GO:0047893,flavonol 3-O-glucosyltransferase activity,4,0.22602681602172436,11,2.62924642378964e-4,0.4561742545275025,0.002548459522500014,Down,6,7,TRUE,MF,gad1*
GO:0008483,transaminase activity,10,2.3894263408010863,84,2.8928699998817753e-4,0.501912944979488,0.0026695299010999697,Down,4,4,FALSE,MF,gad1*
GO:0018958,phenol-containing compound metabolic process,9,1.9373727087576376,69,2.8934889203647245e-4,0.5020203276832796,0.0026695299010999697,Down,4,4,FALSE,BP,gad1*
GO:0010179,IAA-Ala conjugate hydrolase activity,3,0.06457909029192124,5,2.908018163157892e-4,0.5045411513078942,0.0026695299010999697,Down,5,5,TRUE,MF,gad1*
GO:0019372,lipoxygenase pathway,3,0.06457909029192124,5,2.908018163157892e-4,0.5045411513078942,0.0026695299010999697,Down,5,8,FALSE,BP,gad1*
GO:0033358,UDP-L-arabinose biosynthetic process,3,0.06457909029192124,5,2.908018163157892e-4,0.5045411513078942,0.0026695299010999697,Down,5,8,TRUE,BP,gad1*
GO:0045226,extracellular polysaccharide biosynthetic process,3,0.06457909029192124,5,2.908018163157892e-4,0.5045411513078942,0.0026695299010999697,Down,6,7,FALSE,BP,gad1*
GO:0045227,capsule polysaccharide biosynthetic process,3,0.06457909029192124,5,2.908018163157892e-4,0.5045411513078942,0.0026695299010999697,Down,6,8,FALSE,BP,gad1*
GO:0045230,capsule organization,3,0.06457909029192124,5,2.908018163157892e-4,0.5045411513078942,0.0026695299010999697,Down,5,5,FALSE,BP,gad1*
GO:0046379,extracellular polysaccharide metabolic process,3,0.06457909029192124,5,2.908018163157892e-4,0.5045411513078942,0.0026695299010999697,Down,5,6,FALSE,BP,gad1*
GO:0050373,UDP-arabinose 4-epimerase activity,3,0.06457909029192124,5,2.908018163157892e-4,0.5045411513078942,0.0026695299010999697,Down,5,5,TRUE,MF,gad1*
GO:0043565,sequence-specific DNA binding,65,40.2650627970129,1312,3.03210805813638e-4,0.5260707480866619,0.002754297110401371,Down,5,5,FALSE,MF,gad1*
GO:0016769,"transferase activity, transferring nitrogenous groups",10,2.4217158859470467,85,3.188209738568097e-4,0.5531543896415648,0.002881012446049817,Down,3,3,FALSE,MF,gad1*
GO:0009812,flavonoid metabolic process,11,2.938348608282417,102,3.504713854302979e-4,0.6080678537215669,0.003118296685751625,Down,3,3,FALSE,BP,gad1*
GO:0016151,nickel cation binding,4,0.25831636116768497,12,3.846402400237898e-4,0.6673508164412753,0.003387567596148606,Down,6,6,TRUE,MF,gad1*
GO:0034440,lipid oxidation,8,1.6144772572980313,58,4.2494916535865086e-4,0.7372868018972593,0.0036864340094862964,Down,3,6,FALSE,BP,gad1*
GO:0051119,sugar transmembrane transporter activity,8,1.6144772572980313,58,4.2494916535865086e-4,0.7372868018972593,0.0036864340094862964,Down,4,4,FALSE,MF,gad1*
GO:0080134,regulation of response to stress,27,12.689791242362526,420,5.220792679132945e-4,0.9058075298295659,0.004506505123530179,Down,3,4,FALSE,BP,gad1*
GO:0010178,IAA-amino acid conjugate hydrolase activity,3,0.09686863543788188,6,5.68054119655907e-4,0.9855738976029985,0.004879078701004943,Down,4,4,FALSE,MF,gad1*
GO:0051259,protein complex oligomerization,8,1.711345892735913,61,6.013703919018197e-4,1,0.00513867216120085,Down,6,6,FALSE,BP,gad1*
GO:0008374,O-acyltransferase activity,12,3.681008146639511,126,6.042012224120884e-4,1,0.00513867216120085,Down,5,5,FALSE,MF,gad1*
GO:0009404,toxin metabolic process,8,1.7436354378818737,62,6.718266855273032e-4,1,0.005517345409126947,Down,3,3,FALSE,BP,gad1*
GO:1901565,organonitrogen compound catabolic process,46,26.735743380855396,874,6.824283344748492e-4,1,0.005517345409126947,Down,4,4,FALSE,BP,gad1*
GO:0016840,carbon-nitrogen lyase activity,6,0.9363968092328581,35,6.865682304797012e-4,1,0.005517345409126947,Down,3,3,FALSE,MF,gad1*
GO:0009407,toxin catabolic process,7,1.3238713509843856,48,6.868856532400119e-4,1,0.005517345409126947,Down,2,5,FALSE,BP,gad1*
GO:0010466,negative regulation of peptidase activity,7,1.3238713509843856,48,6.868856532400119e-4,1,0.005517345409126947,Down,6,9,FALSE,BP,gad1*
GO:0010951,negative regulation of endopeptidase activity,7,1.3238713509843856,48,6.868856532400119e-4,1,0.005517345409126947,Down,7,10,FALSE,BP,gad1*
GO:0019395,fatty acid oxidation,7,1.3238713509843856,48,6.868856532400119e-4,1,0.005517345409126947,Down,4,8,FALSE,BP,gad1*
GO:0006631,fatty acid metabolic process,20,8.427571283095723,281,7.12547985211998e-4,1,0.005678240129355213,Down,4,7,FALSE,BP,gad1*
GO:0000325,plant-type vacuole,44,25.31500339443313,828,7.134618721610585e-4,1,0.005678240129355213,Down,4,6,FALSE,CC,gad1*
GO:0004497,monooxygenase activity,23,10.268075356415478,341,7.255443856130679e-4,1,0.005748034287847821,Down,3,3,FALSE,MF,gad1*
GO:0001676,long-chain fatty acid metabolic process,5,0.6135013577732519,24,7.65833746315359e-4,1,0.006039643408441581,Down,5,8,FALSE,BP,gad1*
GO:1901575,organic substance catabolic process,77,51.566403598099114,1674,7.708534660856028e-4,1,0.006051722912481994,Down,3,3,FALSE,BP,gad1*
GO:0045861,negative regulation of proteolysis,7,1.3561608961303462,49,7.800327468024938e-4,1,0.006068864644405053,Down,5,8,FALSE,BP,gad1*
GO:0052548,regulation of endopeptidase activity,7,1.3561608961303462,49,7.800327468024938e-4,1,0.006068864644405053,Down,6,8,FALSE,BP,gad1*
GO:0008509,anion transmembrane transporter activity,29,14.627163951120163,482,8.140444528479426e-4,1,0.006305210382549913,Down,4,4,FALSE,MF,gad1*
GO:0009062,fatty acid catabolic process,7,1.3884504412763068,50,8.828808633826995e-4,1,0.006748010123211382,Down,5,8,FALSE,BP,gad1*
GO:0009064,glutamine family amino acid metabolic process,10,2.8091904276985744,97,9.168379239643472e-4,1,0.006836209788557518,Down,5,8,FALSE,BP,gad1*
GO:0005774,vacuolar membrane,37,20.342413441955195,667,9.300742932956241e-4,1,0.006836209788557518,Down,4,6,FALSE,CC,gad1*
GO:0009813,flavonoid biosynthetic process,9,2.324847250509165,81,9.557188000615076e-4,1,0.006836209788557518,Down,4,4,FALSE,BP,gad1*
